//TMR4_PDBRu  PWM Deadtime Control UB Register
TMR4_PDBRu,86,16,rw,0000,FFFF,$,

//TMR4_PFSRv  PWM Fliter Control V Register
TMR4_PFSRv,8A,16,rw,0000,FFFF,$,

//TMR4_PDARv  PWM Deadtime Control VA Register
TMR4_PDARv,8C,16,rw,0000,FFFF,$,

//TMR4_PDBRv  PWM Deadtime Control VB Register
TMR4_PDBRv,8E,16,rw,0000,FFFF,$,

//TMR4_PFSRw  PWM Fliter Control W Register
TMR4_PFSRw,92,16,rw,0000,FFFF,$,

//TMR4_PDARw  PWM Deadtime Control WA Register
TMR4_PDARw,94,16,rw,0000,FFFF,$,

//TMR4_PDBRw  PWM Deadtime Control WB Register
TMR4_PDBRw,96,16,rw,0000,FFFF,$,

//TMR4_POCRu  PWM Output Control U Register
TMR4_POCR#U,98,16,rw,FF00,00F7,
LVLS,7,6,rw,
PWMMD,5,4,rw,
DIVCK,2,0,rw,$,

//TMR4_POCRv  PWM Output Control V Register
TMR4_POCR#V,9C,16,rw,FF00,00F7,/dr,TMR4_POCR#U,

//TMR4_POCRw  PWM Output Control W Register
TMR4_POCR#W,A0,16,rw,FF00,00F7,/dr,TMR4_POCR#U,

//TMR4_RCSR  Reload Control Status Register
TMR4_RCSR,A4,16,rw,0000,FFF7,
RTSW,15,15,rw,
RTEW,14,14,rw,
RTICW,13,13,rw,
RTIFW,12,12,r,
RTSV,11,11,rw,
RTEV,10,10,rw,
RTICV,9,9,rw,
RTIFV,8,8,r,
RTSU,7,7,rw,
RTEU,6,6,rw,
RTICU,5,5,rw,
RTIFU,4,4,r,
RTIDW,2,2,rw,
RTIDV,1,1,rw,
RTIDU,0,0,rw,$,

//TMR4_SCCRuh  Special Compare Value UH Register
TMR4_SCCRuh,B2,16,rw,0000,FFFF,$,

//TMR4_SCCRul  Special Compare Value UL Register
TMR4_SCCRul,B6,16,rw,0000,FFFF,$,

//TMR4_SCCRvh  Special Compare Value VH Register
TMR4_SCCRvh,BA,16,rw,0000,FFFF,$,

//TMR4_SCCRvl  Special Compare Value VL Register
TMR4_SCCRvl,BE,16,rw,0000,FFFF,$,

//TMR4_SCCRwh  Special Compare Value WH Register
TMR4_SCCRwh,C2,16,rw,0000,FFFF,$,

//TMR4_SCCRwl  Special Compare Value WL Register
TMR4_SCCRwl,C6,16,rw,0000,FFFF,$,

//TMR4_SCSRuh  Special Control Status UH Register
TMR4_SCSR#UH,C8,16,rw,0000,F33F,
ZEN,15,15,rw,
UEN,14,14,rw,
PEN,13,13,rw,
DEN,12,12,rw,
EVTDS,9,9,rw,
EVTMS,8,8,rw,
LMC,5,5,rw,
EVTOS,4,2,rw,
BUFEN,1,0,rw,$,

//TMR4_SCMRuh  Special Mode Control UH Register
TMR4_SCMR#UH,CA,16,rw,FF00,00CF,
MPCE,7,7,rw,
MZCE,6,6,rw,
AMC,3,0,rw,$,

//TMR4_SCSRul  Special Control Status UL Register
TMR4_SCSR#UL,CC,16,rw,0000,F33F,/dr,TMR4_SCSR#UH,


//TMR4_SCMRul  Special Mode Control UL Register
TMR4_SCMR#UL,CE,16,rw,FF00,00CF,/dr,TMR4_SCMR#UH,

//TMR4_SCSRvh  Special Control Status VH Register
TMR4_SCSR#VH,D0,16,rw,0000,F33F,/dr,TMR4_SCSR#UH,

//TMR4_SCMRvh  Special Mode Control VH Register
TMR4_SCMR#VH,D2,16,rw,FF00,00CF,/dr,TMR4_SCMR#UH,

//TMR4_SCSRvl  Special Control Status VL Register
TMR4_SCSR#VL,D4,16,rw,0000,F33F,/dr,TMR4_SCSR#UH,

//TMR4_SCMRvl  Special Mode Control VL Register
TMR4_SCMR#VL,D6,16,rw,FF00,00CF,/dr,TMR4_SCMR#UH,

//TMR4_SCSRwh  Special Control Status WH Register
TMR4_SCSR#WH,D8,16,rw,0000,F33F,/dr,TMR4_SCSR#UH,

//TMR4_SCMRwh  Special Mode Control WH Register
TMR4_SCMR#WH,DA,16,rw,FF00,00CF,/dr,TMR4_SCMR#UH,

//TMR4_SCSRwl  Special Control Status WL Register
TMR4_SCSR#WL,DC,16,rw,0000,F33F,/dr,TMR4_SCSR#UH,

//TMR4_SCMRwl  Special Mode Control WL Register
TMR4_SCMR#WL,DE,16,rw,FF00,00CF,/dr,TMR4_SCMR#UH,

//TMR4_PSCR  PWM Port Status Control Register
TMR4_PSCR,E0,32,rw,05550000,0FFF03FF,
OSWL,27,26,rw,
OSWH,25,24,rw,
OSVL,23,22,rw,
OSVH,21,20,rw,
OSUL,19,18,rw,
OSUH,17,16,rw,
AOE,9,9,rw,
MOE,8,8,rw,
ODT,7,6,rw,
OEWL,5,5,rw,
OEWH,4,4,rw,
OEVL,3,3,rw,
OEVH,2,2,rw,
OEUL,1,1,rw,
OEUH,0,0,rw,$,

//TMR4_SCER  Special Event Control Register
TMR4_SCER,E4,16,rw,FF00,000F,
PCTS,3,3,rw,
EVTRS,2,0,rw,$,

